title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Functional English Lab,SL1012,BCS-1H1,,1.0,BS,CS,HSS,Core,False,English Lab-3,Tuesday,14:30,15:50
Functional English Lab,SL1012,BDS-1B2,,1.0,BS,DS,HSS,Core,False,English Lab-4,Tuesday,10:00,11:20
Functional English Lab,SL1012,BCS-1H2,,1.0,BS,CS,HSS,Core,False,English Lab-4,Tuesday,14:30,15:50
Intro. to Info and Comm. Technologies,CL1001,BCS-1E,Ms. Zehra Batool,1.0,BS,CS,CS,Core,False,Lab(CS-1),Tuesday,08:30,11:20
Computer Networks Lab,CL3001,BCS-5H1,,1.0,BS,CS,CS,Core,False,Lab(CS-1),Tuesday,11:30,14:20
Computer Networks Lab,CL3001,BCS-5H2,,1.0,BS,CS,CS,Core,False,Lab(CS-1),Tuesday,11:30,14:20
Intro. to Info and Comm. Technologies,CL1001,BCS-1G,,1.0,BS,CS,CS,Core,False,Lab(CS-1),Tuesday,14:30,17:20
Data Structures Lab,CL2001,BCS-3F1,,1.0,BS,CS,CS,Core,False,Lab(CS-2A),Tuesday,08:30,11:20
Data Structures Lab,CL2001,BCS-3F2,,1.0,BS,CS,CS,Core,False,Lab(CS-2A),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BCS-1F1,,1.0,BS,CS,CS,Core,False,Lab(CS-2A),Tuesday,11:30,14:20
Programming Fundamental Lab,CL1002,BCS-1F2,,1.0,BS,CS,CS,Core,False,Lab(CS-2A),Tuesday,11:30,14:20
Data Structures Lab,CL2001,BDS-3B1,,1.0,BS,DS,CS,Core,False,Lab(CS-2B),Tuesday,08:30,11:20
Data Structures Lab,CL2001,BDS-3B2,,1.0,BS,DS,CS,Core,False,Lab(CS-2B),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BCS-1H1,,1.0,BS,CS,CS,Core,False,Lab(CS-2B),Tuesday,11:30,14:20
Programming Fundamental Lab,CL1002,BCS-1H2,,1.0,BS,CS,CS,Core,False,Lab(CS-2B),Tuesday,11:30,14:20
Intro. to Info and Comm. Technologies,CL1001,BSE-1A,Ms. Mamoona Majid,1.0,BS,SE,CS,Core,False,Lab(CS-2B),Tuesday,14:30,17:20
Comp. Organization and Assembly Lang. Lab,EL2003,BSR-3A1,,1.0,BS,R,CS,Core,False,Lab(CS-3),Tuesday,08:30,11:20
Comp. Organization and Assembly Lang. Lab,EL2003,BSR-3A2,,1.0,BS,R,CS,Core,False,Lab(CS-3),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BCS-1K1,,1.0,BS,CS,CS,Core,False,Lab(CS-3),Tuesday,11:30,14:20
Programming Fundamental Lab,CL1002,BCS-1K2,,1.0,BS,CS,CS,Core,False,Lab(CS-3),Tuesday,11:30,14:20
Computer Networks Lab,CL3001,BSR-5A1,,3.0,BS,R,CS,Core,False,Lab(CS-3),Tuesday,14:30,17:20
Computer Networks Lab,CL3001,BSR-5A2,,3.0,BS,R,CS,Core,False,Lab(CS-3),Tuesday,14:30,17:20
Computer Networks Lab,CL3001,BCS-5L1,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,08:30,11:20
Computer Networks Lab,CL3001,BCS-5L2,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BDS-1A1,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,11:30,14:20
Programming Fundamental Lab,CL1002,BDS-1A2,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,11:30,14:20
Computer Networks Lab,CL3001,BCS-5E1,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,14:30,17:20
Computer Networks Lab,CL3001,BCS-5E2,,1.0,BS,CS,CS,Core,False,Lab(CS-4),Tuesday,14:30,17:20
Programming Fundamental Lab,CL1002,BDS-1C1,,1.0,BS,CS,CS,Core,False,Lab(CS-6),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BDS-1C2,,1.0,BS,CS,CS,Core,False,Lab(CS-6),Tuesday,08:30,11:20
Programming Fundamental Lab,CL1002,BDS-1B1,,1.0,BS,CS,CS,Core,False,Lab(CS-6),Tuesday,11:30,14:20
Programming Fundamental Lab,CL1002,BDS-1B2,,1.0,BS,CS,CS,Core,False,Lab(CS-6),Tuesday,11:30,14:20
